ctree,image,segments,header,ltable,graph,rtable,scale
PMC5882397,image.5.1.167_508.40_303,,,,,,
PMC5882397,image.5.2.170_506.437_647,,,,,,
PMC5882397,image.6.1.140_509.40_343,,,,,,
PMC5882397,image.7.1.170_506.40_238,,,,,,
PMC5992663,image.5.1.127_468.104_324,,,,,,
PMC5992663,image.5.2.127_468.508_722,,,,,,
PMC5992663,image.6.1.127_468.104_318,,,,,,
PMC5992663,image.6.2.127_468.510_722,,,,,,
PMC5992663,image.7.1.127_468.104_311,,,,,,
PMC5992663,image.7.2.127_468.512_722,,,,,,
PMC5992663,image.8.1.127_468.104_314,,,,,,
PMC5992663,image.8.2.127_468.506_722,,,,,,
PMC6090707,image.5.2.156_440.522_722,,,,,,
PMC6090707,image.6.1.127_468.504_722,,,,,,
PMC6090707,image.7.1.127_468.104_310,,,,,,
PMC6090707,image.7.2.127_468.503_722,,,,,,
PMC6090707,image.8.2.127_468.104_340,,,,,,
PMC6127950,image.10.2.127_468.104_276,,,,,,
PMC6127950,image.5.2.127_468.483_722,,,,,,
PMC6127950,image.6.1.127_468.104_336,,,,,,
PMC6127950,image.6.2.127_468.494_722,,,,,,
PMC6127950,image.7.1.127_468.104_342,,,,,,
PMC6127950,image.7.2.127_468.457_722,,,,,,
PMC6127950,image.8.1.127_468.104_324,,,,,,
PMC6127950,image.8.2.127_468.488_722,,,,,,
PMC6127950,image.9.1.127_468.104_330,,,,,,
PMC6127950,image.9.2.127_468.492_722,,,,,,
PMC6133534,image.10.1.111_538.40_306,,,,,,
PMC6133534,image.4.1.96_553.380_696,,,,,,
PMC6133534,image.5.1.110_566.40_339,,,,,,
PMC6133534,image.5.2.110_566.413_694,,,,,,
PMC6133534,image.6.1.96_553.40_348,,,,,,
PMC6133534,image.6.2.96_553.391_699,,,,,,
PMC6133534,image.7.1.125_550.40_343,,,,,,
PMC6133534,image.7.2.125_550.391_693,,,,,,
PMC6133534,image.8.1.108_541.40_333,SUBPLOTS,,,,,
PMC6133534,image.8.2.113_536.391_695,,,,,,
PMC6133534,image.9.1.123_553.40_356,,,,,,
PMC6148779,image.5.2.127_468.488_722,,,,,,
PMC6148779,image.6.1.127_468.104_342,,,,,,
PMC6148779,image.6.2.127_468.485_722,,,,,,
PMC6148779,image.7.1.127_468.104_341,,,,,,
PMC6148779,image.7.2.127_468.485_722,,,,,,
PMC6148779,image.8.1.127_468.104_332,,,,,,
PMC6151011,image.5.2.156_440.514_722,,,,,,
PMC6151011,image.6.1.127_468.478_722,,,,,,
PMC6151011,image.7.1.127_468.104_334,,,,,,
PMC6151011,image.7.2.127_468.491_722,,,,,,
PMC6151011,image.8.1.127_468.104_347,,,,,,
PMC6151011,image.8.2.127_468.490_722,,,,,,
PMC6221679,image.10.1.96_553.40_500,,,,,,
PMC6221679,image.11.1.110_566.40_509,,,,,,
PMC6221679,image.12.1.96_553.40_539,,,,,,
PMC6221679,image.6.1.96_553.40_601,,,,,,
PMC6221679,image.7.1.109_566.131_701,,,,,,
PMC6221679,image.8.1.96_553.40_443,,,,,,
PMC6221679,image.9.1.109_566.40_527,,,,,,
PMC6240665,image.4.1.57_539.90_528,,,,,,
PMC6240665,image.5.1.85_510.90_410,,,,,,
PMC6240665,image.6.1.114_482.90_331,,,,,,
PMC6240665,image.6.2.114_482.379_636,,,,,,
PMC6240665,image.7.1.85_510.91_395,,,,,,
PMC6240665,image.7.2.114_482.446_558,,,,,,
PMC6240665,image.7.3.114_482.609_702,,,,,,
PMC6250441,image.5.1.107_568.391_684,FAIL box,,,,,
PMC6250441,image.5.2.117_559.40_312,FAIL box,,,,,
PMC6250441,image.6.1.99_549.391_683,FAIL box,,,,,
PMC6250441,image.6.2.95_554.40_330,FAIL box,,,,,
PMC6250441,image.7.1.112_564.40_335,FAIL box,,,,,
PMC6310497,image.5.1.103_572.270_689,,,,,,
PMC6310497,image.6.1.90_559.40_400,,,,,,
PMC6310497,image.7.1.109_566.40_431,,,,,,
PMC6310497,image.8.1.90_559.40_394,,,,,,
PMC6310497,image.8.2.113_535.432_707,,,,,,
PMC6310588,image.3.1.121_554.379_700,,,,,,
PMC6310588,image.4.1.108_541.347_684,,,,,,
PMC6310588,image.5.1.121_554.40_381,,,,,,
PMC6310588,image.6.1.108_541.40_361,,,,,,
PMC6310588,image.7.1.121_554.40_407,,,,,,
PMC6310588,image.8.1.108_541.33_358,,,,,,
PMC6310588,image.8.2.108_541.402_694,,,,,,
PMC6320077,image.5.1.122_554.409_699,FAIL no header,,,,,
PMC6320077,image.5.2.122_554.40_329,FAIL no header,,,,,
PMC6320077,image.6.1.108_540.40_309,FAIL no header,,,,,
